id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam;2020-02-29T05:40:42;5808;45924
2;Sammie;Hartmann;Bryon.Quigley@yahoo.com;Producer;2020-02-28T12:05:57;93855;21233
3;Abagail;Deckow;Christelle61@hotmail.com;Grocery Home;2020-02-28T19:28:59;61185;39986
4;Brody;Beahan;Wayne45@gmail.com;bluetooth;2020-02-29T03:17:08;38246;51423
5;Wilma;McLaughlin;Alyce_Stokes@yahoo.com;Centers;2020-02-29T07:45:33;94888;94220
6;Virgil;MacGyver;Gerhard9@hotmail.com;Nakfa;2020-02-28T21:30:51;68326;12203
7;Leone;Kunde;Alexzander.Daniel25@hotmail.com;invoice;2020-02-29T00:35:48;42515;52006
8;Cordell;Lockman;Christine_Bartell77@yahoo.com;Markets Chief;2020-02-28T17:43:41;72727;92187
9;Erick;Bogisich;Cleve96@yahoo.com;navigating;2020-02-28T14:08:32;27134;53969
10;Rhoda;McGlynn;Virgie_Goyette@yahoo.com;Plastic;2020-02-28T12:49:30;16526;7455
